prepositions        ;   Nom;   Gen;   Dat;   Acc;   Ins;   Loc;
ВСЛЕДСТВИЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВЫШЕ                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ДЛЯ                 ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ДО                  ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ЗА                  ;   0.0;   0.0;   0.0; 0.522; 0.478;   0.0;
ЗА СЧЁТ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ЗА СЧЕТ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ИЗ                  ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ИЗ-ЗА               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ИЗ-ПОД              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
К                   ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
МЕЖ                 ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
МЕЖДУ               ;   0.0;  0.18;   0.0;   0.0;  0.82;   0.0;
МИМО                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НА                  ;   0.0;   0.0;   0.0; 0.394;   0.0; 0.606;
НА ПОРОГЕ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НАД                 ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
НАКАНУНЕ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НАПЕРЕКОР           ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
НАПРОТИВ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НЕ В                ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
НИЖЕ                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
О                   ;   0.0;   0.0;   0.0; 0.145;   0.0; 0.855;
ОКОЛО               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ОТ                  ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ОТНОСИТЕЛЬНО        ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПЕРЕД               ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
ПО                  ;   0.0;   0.0;  0.82; 0.115;   0.0; 0.0648;
ПО МЕРЕ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПО ОТНОШЕНИЮ К      ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
ПО ПОВОДУ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПО СЛУЧАЮ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПО СРАВНЕНИЮ С      ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
ПОВЕРХ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОД                 ;   0.0;   0.0;   0.0; 0.319; 0.681;   0.0;
ПОЗАДИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОПЕРЕК             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСЕРЕДИНЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСЛЕ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСРЕДИ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСРЕДИНЕ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСРЕДСТВОМ         ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПРИ                 ;   0.0;   0.0;   0.0;   0.0;   0.0;   1.0;
ПРИ ПОМОЩИ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПРО                 ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
ПРОТИВ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПУТЕМ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
РАДИ                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
С                   ;   0.0; 0.325;   0.0; 0.0361; 0.639;   0.0;
С ПОМОЩЬЮ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
СКВОЗЬ              ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
СО СТОРОНЫ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
СОГЛАСНО            ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
СПУСТЯ              ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
СРЕДИ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
У                   ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ЧЕРЕЗ               ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
