prepositions        ;   Nom;   Gen;   Dat;   Acc;   Ins;   Loc;
РАДИ                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
С                   ;   0.0; 0.398;   0.0; 0.0998; 0.503;   0.0;
С ПОМОЩЬЮ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
СКВОЗЬ              ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
СО СТОРОНЫ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
СОГЛАСНО            ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
СПУСТЯ              ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
СРЕДИ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
У                   ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ЧЕРЕЗ               ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
